cd gopacket
rg '\bLayerType[A-Z]\w+\b' -I -or '$0' | sort | uniq -c | sort -nr

    148 LayerTypeMetadata
    130 LayerTypeEthernet
     86 LayerTypePayload
     83 LayerTypeIPv4
     45 LayerTypeIPv6
     34 LayerTypeUDP
     33 LayerTypeOSPF
     32 LayerTypeTCP
     31 LayerTypeZero
     31 LayerTypeSFlow
     27 LayerTypeTLS
     25 LayerTypeDot11
     24 LayerTypeDNS
     22 LayerTypeRadioTap
     22 LayerTypeICMPv4
     19 LayerTypeIPv6HopByHop
     19 LayerTypeICMPv6
     18 LayerTypeDot11InformationElement
     17 LayerTypeIGMP
     16 LayerTypeLCM
     13 LayerTypeGRE
     13 LayerTypeDot1Q
     12 LayerTypeLLC
     11 LayerTypeMPLS
     11 LayerTypeDHCPv4
     11 LayerTypeARP
     10 LayerTypeSNAP
     10 LayerTypeGeneve
     10 LayerTypeDHCPv6
      9 LayerTypeMLDv1MulticastListenerQuery
      9 LayerTypeIPSecAH
      8 LayerTypeMLDv2MulticastListenerQuery
      8 LayerTypeMLDv1MulticastListenerReport
      8 LayerTypeMLDv1MulticastListenerDone
      8 LayerTypeLinkLayerDiscovery
      8 LayerTypeIPv6Destination
      8 LayerTypeGTPv1U
      8 LayerTypeFragment
      8 LayerTypeEAPOL
      8 LayerTypeDot11Data
      7 LayerTypeVXLAN
      7 LayerTypeVRRP
      7 LayerTypePPP
      7 LayerTypeLinkLayerDiscoveryInfo
      7 LayerTypeICMPv6RouterAdvertisement
      7 LayerTypeICMPv6NeighborSolicitation
      7 LayerTypeEAPOLKey
      7 LayerTypeDot11DataQOSData
      6 LayerTypeSIP
      6 LayerTypeSCTPSack
      6 LayerTypeSCTPData
      6 LayerTypeSCTP
      6 LayerTypePrismHeader
      6 LayerTypePPPoE
      6 LayerTypeNTP
      6 LayerTypeNortelDiscovery
      6 LayerTypeMLDv2MulticastListenerReport
      6 LayerTypeLoopback
      6 LayerTypeIPSecESP
      6 LayerTypeICMPv6Redirect
      6 LayerTypeICMPv6NeighborAdvertisement
      6 LayerTypeICMPv6Echo
      6 LayerTypeDot11WEP
      6 LayerTypeDot11MgmtBeacon
      6 LayerTypeDot11MgmtAction
      6 LayerTypeBFD
      5 LayerTypeSTP
      5 LayerTypeSCTPShutdownComplete
      5 LayerTypeSCTPShutdownAck
      5 LayerTypeSCTPShutdown
      5 LayerTypeSCTPInitAck
      5 LayerTypeSCTPInit
      5 LayerTypeSCTPCookieEcho
      5 LayerTypeSCTPCookieAck
      5 LayerTypeRMCP
      5 LayerTypePFLog
      5 LayerTypeLinuxSLL
      5 LayerTypeIPv6Routing
      5 LayerTypeIPv6Fragment
      5 LayerTypeICMPv6RouterSolicitation
      5 LayerTypeEtherIP
      5 LayerTypeEAP
      5 LayerTypeDot11MgmtProbeReq
      5 LayerTypeDot11DataNull
      5 LayerTypeDot11DataCFPollNoData
      5 LayerTypeDot11DataCFPoll
      5 LayerTypeDot11DataCFAckPollNoData
      5 LayerTypeDot11DataCFAckPoll
      5 LayerTypeDot11DataCFAck
      5 LayerTypeDot11Ctrl
      5 LayerTypeDecodeFailure
      5 LayerTypeCiscoDiscoveryInfo
      5 LayerTypeCiscoDiscovery
      5 LayerTypeASFPresencePong
      5 LayerTypeASF
      4 LayerTypeUSBInterrupt
      4 LayerTypeUSB
      4 LayerTypeUDPLite
      4 LayerTypeSCTPUnknownChunkType
      4 LayerTypeSCTPHeartbeat
      4 LayerTypeSCTPError
      4 LayerTypeSCTPAbort
      4 LayerTypeRUDP
      4 LayerTypeModbusTCP
      4 LayerTypeEthernetCTP
      4 LayerTypeDot11MgmtReassociationResp
      4 LayerTypeDot11MgmtReassociationReq
      4 LayerTypeDot11MgmtProbeResp
      4 LayerTypeDot11MgmtMeasurementPilot
      4 LayerTypeDot11MgmtDisassociation
      4 LayerTypeDot11MgmtDeauthentication
      4 LayerTypeDot11MgmtAuthentication
      4 LayerTypeDot11MgmtATIM
      4 LayerTypeDot11MgmtAssociationResp
      4 LayerTypeDot11MgmtAssociationReq
      4 LayerTypeDot11MgmtActionNoAck
      4 LayerTypeDot11DataQOSNull
      4 LayerTypeDot11DataQOSDataCFPoll
      4 LayerTypeDot11DataQOSDataCFAckPoll
      4 LayerTypeDot11DataQOSDataCFAck
      4 LayerTypeDot11DataQOSCFPollNoData
      4 LayerTypeDot11DataQOSCFAckPollNoData
      4 LayerTypeDot11DataCFAckNoData
      4 LayerTypeDot11CtrlRTS
      4 LayerTypeDot11CtrlPowersavePoll
      4 LayerTypeDot11CtrlCTS
      4 LayerTypeDot11CtrlCFEndAck
      4 LayerTypeDot11CtrlCFEnd
      4 LayerTypeDot11CtrlBlockAckReq
      4 LayerTypeDot11CtrlBlockAck
      4 LayerTypeDot11CtrlAck
      3 LayerTypeUSBRequestBlockSetup
      3 LayerTypeUSBControl
      3 LayerTypeUSBBulk
      3 LayerTypeSCTPHeartbeatAck
      3 LayerTypeFDDI
      3 LayerTypeEthernetCTPReply
      3 LayerTypeEthernetCTPForwardData
      3 LayerTypeDot11MgmtArubaWLAN
      2 LayerTypeSCTPEmptyLayer
      1 LayerTypeGTPV1U
